Book_Name,Author,Release_Date,Narrator,No_of_Ratings,Language,Score,Price(INR),Audio_Book_Length
The Immortals of Meluha,Amish Tripathi,14-11-22,Manish Dongardive,13,English,5.0,836.0,11:39:00
The Seven Moons of Maali Almeida,Shehan Karunatilaka,11-11-22,Shivantha Wijesinha,2,English,4.5,664.0,15:08:00
Scion of Ikshvaku,Amish,21-06-17,Sagar Arya,1423,English,4.5,234.0,11:35:00
Novelist as a Vocation,Haruki Murakami,08-11-22,Kotaro Watanabe,0,English,0.0,519.0,07:35:00
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,14-11-22,Swetanshu Bora,1,Hindi,5.0,836.0,14:45:00
No Plan B,Lee Child,25-10-22,Jeff Harding,9,English,3.5,888.0,10:22:00
War of Lanka,Amish Tripathi,03-10-22,Darrpan Mehta,394,English,4.5,1003.0,16:20:00
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]",Kalki,03-09-20,Bombay Kannan,729,tamil,5.0,118.0,00:00:00
Sita: Warrior of Mithila,Amish,29-08-17,Sagar Arya,1067,English,4.5,328.0,11:10:00
The Alchemist (Tamil Edition),Paulo Coelho,04-11-22,Ganesh Ram PS,2,tamil,5.0,668.0,05:22:00
Legend of Suheldev,Amish Tripathi,29-09-22,Shernaz Patel,20,English,4.5,836.0,11:06:00
The Sandman,Neil Gaiman,15-07-20,Riz Ahmed,1335,English,4.5,1171.0,11:02:00
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila],Amish Tripathi,26-09-22,Surjan Singh,12,Hindi,5.0,836.0,11:11:00
Ghosts of the Silent Hills,Anita Krishan,25-10-22,Riya Mukherjee,30,English,4.0,668.0,09:54:00
Life's Amazing Secrets,Gaur Gopal Das,10-12-19,Gaur Gopal Das,4981,English,4.5,1005.0,06:25:00
Amar Bharat (Hindi),Amish Tripathi,29-09-22,Surjan Singh,3,Hindi,4.5,668.0,05:39:00
The Sandman: Act III,Neil Gaiman,28-09-22,Neil Gaiman,64,English,4.5,1171.0,11:32:00
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Amish Tripathi,29-09-22,Neha Gargava,32,Hindi,4.5,836.0,12:13:00
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta],Amish Tripathi,12-10-22,Surjan Singh,10,Hindi,4.5,836.0,12:33:00
Beartown,Fredrik Backman,10-08-17,John Sackville,213,English,4.5,820.0,13:43:00
A House for Mr. Biswas,V. S. Naipaul,10-07-17,Sam Dastor,34,English,4.0,1289.0,21:29:00
Lessons in Chemistry,Bonnie Garmus,05-04-22,Miranda Raison,32,English,4.5,888.0,11:56:00
Yes Minister & Yes Prime Minister - The Complete Audio Collection,Antony Jay,28-07-14,Paul Eddington,104,English,5.0,1093.0,18:28:00
Sherlock Holmes: The Definitive Collection,Stephen Fry - introductions,27-02-17,Stephen Fry,955,English,5.0,3037.0,23:57:00
Homegoing,Yaa Gyasi,05-01-17,Dominic Hoffman,31,English,4.5,820.0,13:11:00
1984,George Orwell,05-11-15,Andrew Wincott,286,English,4.5,797.0,12:19:00
Haunting Adeline,H. D. Carlton,29-08-22,Teddy Hamilton,1,English,4.0,836.0,15:44:00
Norse Mythology,Neil Gaiman,24-02-17,Neil Gaiman,427,English,4.5,569.0,06:29:00
A Suitable Boy (Dramatised),Vikram Seth,15-05-07,Ayesha Dharker,828,English,4.5,820.0,05:44:00
P.G. Wodehouse Volume 1,P.G. Wodehouse,17-12-20,Stephen Fry,225,English,5.0,1138.0,16:37:00
The Fountainhead,Ayn Rand,02-11-07,Christopher Hurt,417,English,4.5,1054.0,08:05:00
One Hundred Years of Solitude,Gabriel García Márquez,28-01-14,John Lee,135,English,4.5,1069.0,14:04:00
The Midnight Library,Matt Haig,13-08-20,Carey Mulligan,1493,English,4.5,797.0,09:09:00
Things We Do in the Dark,Jennifer Hillier,19-07-22,Carla Vega,3,English,4.0,181.0,12:22:00
Project Hail Mary,Andy Weir,04-05-21,Ray Porter,1504,English,5.0,1003.0,16:10:00
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku],Amish Tripathi,20-09-22,Surjan Singh,36,Hindi,4.5,836.0,11:21:00
If Tomorrow Comes,Sidney Sheldon,31-07-17,Nancy La Scala,94,English,4.5,702.0,12:36:00
"The Ultimate Horror Collection: 60+ Novels and Stories from H.P. Lovecraft, Edgar Allan Poe, M.R. James, Bram Stoker, Henry James, Mary Shelley, and More",H. P. Lovecraft,26-08-22,Jonathan Keeble,0,English,0.0,3037.0,21:12:00
A Game of Thrones,George R.R. Martin,03-11-15,Roy Dotrice,171,English,5.0,1025.0,09:45:00
Vanara,Anand Neelakantan,16-09-22,Siddhanta Pinto,1,English,5.0,879.0,11:22:00
Origin,Dan Brown,03-10-17,Paul Michael,621,English,4.5,957.0,18:10:00
Mythos,Stephen Fry,02-11-17,Stephen Fry,681,English,4.5,957.0,15:25:00
Norwegian Wood,Haruki Murakami,29-10-20,Adam Sims,236,English,4.5,888.0,12:28:00
The Atlas Paradox,Olivie Blake,25-10-22,Alexandra Palting,0,English,0.0,323.0,17:35:00
Me Before You,Jojo Moyes,01-01-12,Jo Hall,79,English,5.0,778.0,16:37:00
Reminders of Him,Colleen Hoover,18-01-22,Brittany Pressley,63,English,4.5,1008.0,10:17:00
The Monk Who Sold His Ferrari,Robin Sharma,12-06-17,Humphrey Bower,301,English,4.5,1063.0,06:34:00
The Pillars of the Earth,Ken Follett,18-10-10,John Lee,74,English,5.0,323.0,16:56:00
How to Win an Indian Election,Shivam Shankar Singh,19-11-19,Terry D’Souza,60,English,4.5,879.0,06:45:00
Rendezvous with Rama,Arthur C. Clarke,10-12-13,Toby Longworth,103,English,4.5,569.0,07:21:00
The Immortals of Meluha,Amish Tripathi,14-11-22,Manish Dongardive,13,English,5.0,836.0,11:39:00
The Seven Moons of Maali Almeida,Shehan Karunatilaka,11-11-22,Shivantha Wijesinha,2,English,4.5,664.0,15:08:00
Scion of Ikshvaku,Amish,21-06-17,Sagar Arya,1423,English,4.5,234.0,11:35:00
Novelist as a Vocation,Haruki Murakami,08-11-22,Kotaro Watanabe,0,English,0.0,519.0,07:35:00
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,14-11-22,Swetanshu Bora,1,Hindi,5.0,836.0,14:45:00
No Plan B,Lee Child,25-10-22,Jeff Harding,9,English,3.5,888.0,10:22:00
War of Lanka,Amish Tripathi,03-10-22,Darrpan Mehta,394,English,4.5,1003.0,16:20:00
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]",Kalki,03-09-20,Bombay Kannan,729,tamil,5.0,118.0,00:00:00
Sita: Warrior of Mithila,Amish,29-08-17,Sagar Arya,1067,English,4.5,328.0,11:10:00
The Alchemist (Tamil Edition),Paulo Coelho,04-11-22,Ganesh Ram PS,2,tamil,5.0,668.0,05:22:00
Legend of Suheldev,Amish Tripathi,29-09-22,Shernaz Patel,20,English,4.5,836.0,11:06:00
The Sandman,Neil Gaiman,15-07-20,Riz Ahmed,1335,English,4.5,1171.0,11:02:00
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila],Amish Tripathi,26-09-22,Surjan Singh,12,Hindi,5.0,836.0,11:11:00
Ghosts of the Silent Hills,Anita Krishan,25-10-22,Riya Mukherjee,30,English,4.0,668.0,09:54:00
Life's Amazing Secrets,Gaur Gopal Das,10-12-19,Gaur Gopal Das,4981,English,4.5,1005.0,06:25:00
Amar Bharat (Hindi),Amish Tripathi,29-09-22,Surjan Singh,3,Hindi,4.5,668.0,05:39:00
The Sandman: Act III,Neil Gaiman,28-09-22,Neil Gaiman,64,English,4.5,1171.0,11:32:00
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Amish Tripathi,29-09-22,Neha Gargava,32,Hindi,4.5,836.0,12:13:00
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta],Amish Tripathi,12-10-22,Surjan Singh,10,Hindi,4.5,836.0,12:33:00
Beartown,Fredrik Backman,10-08-17,John Sackville,213,English,4.5,820.0,13:43:00
A House for Mr. Biswas,V. S. Naipaul,10-07-17,Sam Dastor,34,English,4.0,1289.0,21:29:00
Lessons in Chemistry,Bonnie Garmus,05-04-22,Miranda Raison,32,English,4.5,888.0,11:56:00
Yes Minister & Yes Prime Minister - The Complete Audio Collection,Antony Jay,28-07-14,Paul Eddington,104,English,5.0,1093.0,18:28:00
Sherlock Holmes: The Definitive Collection,Stephen Fry - introductions,27-02-17,Stephen Fry,955,English,5.0,3037.0,23:57:00
Homegoing,Yaa Gyasi,05-01-17,Dominic Hoffman,31,English,4.5,820.0,13:11:00
1984,George Orwell,05-11-15,Andrew Wincott,286,English,4.5,797.0,12:19:00
Haunting Adeline,H. D. Carlton,29-08-22,Teddy Hamilton,1,English,4.0,836.0,15:44:00
Norse Mythology,Neil Gaiman,24-02-17,Neil Gaiman,427,English,4.5,569.0,06:29:00
A Suitable Boy (Dramatised),Vikram Seth,15-05-07,Ayesha Dharker,828,English,4.5,820.0,05:44:00
P.G. Wodehouse Volume 1,P.G. Wodehouse,17-12-20,Stephen Fry,225,English,5.0,1138.0,16:37:00
The Fountainhead,Ayn Rand,02-11-07,Christopher Hurt,417,English,4.5,1054.0,08:05:00
One Hundred Years of Solitude,Gabriel García Márquez,28-01-14,John Lee,135,English,4.5,1069.0,14:04:00
The Midnight Library,Matt Haig,13-08-20,Carey Mulligan,1493,English,4.5,797.0,09:09:00
Things We Do in the Dark,Jennifer Hillier,19-07-22,Carla Vega,3,English,4.0,181.0,12:22:00
Project Hail Mary,Andy Weir,04-05-21,Ray Porter,1504,English,5.0,1003.0,16:10:00
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku],Amish Tripathi,20-09-22,Surjan Singh,36,Hindi,4.5,836.0,11:21:00
If Tomorrow Comes,Sidney Sheldon,31-07-17,Nancy La Scala,94,English,4.5,702.0,12:36:00
"The Ultimate Horror Collection: 60+ Novels and Stories from H.P. Lovecraft, Edgar Allan Poe, M.R. James, Bram Stoker, Henry James, Mary Shelley, and More",H. P. Lovecraft,26-08-22,Jonathan Keeble,0,English,0.0,3037.0,21:12:00
A Game of Thrones,George R.R. Martin,03-11-15,Roy Dotrice,171,English,5.0,1025.0,09:45:00
Vanara,Anand Neelakantan,16-09-22,Siddhanta Pinto,1,English,5.0,879.0,11:22:00
Origin,Dan Brown,03-10-17,Paul Michael,621,English,4.5,957.0,18:10:00
Mythos,Stephen Fry,02-11-17,Stephen Fry,681,English,4.5,957.0,15:25:00
Norwegian Wood,Haruki Murakami,29-10-20,Adam Sims,236,English,4.5,888.0,12:28:00
The Atlas Paradox,Olivie Blake,25-10-22,Alexandra Palting,0,English,0.0,323.0,17:35:00
Me Before You,Jojo Moyes,01-01-12,Jo Hall,79,English,5.0,778.0,16:37:00
Reminders of Him,Colleen Hoover,18-01-22,Brittany Pressley,63,English,4.5,1008.0,10:17:00
The Monk Who Sold His Ferrari,Robin Sharma,12-06-17,Humphrey Bower,301,English,4.5,1063.0,06:34:00
The Pillars of the Earth,Ken Follett,18-10-10,John Lee,74,English,5.0,323.0,16:56:00
How to Win an Indian Election,Shivam Shankar Singh,19-11-19,Terry D’Souza,60,English,4.5,879.0,06:45:00
Rendezvous with Rama,Arthur C. Clarke,10-12-13,Toby Longworth,103,English,4.5,569.0,07:21:00
The Sandman: Act II,Neil Gaiman,22-09-21,Neil Gaiman,263,English,4.5,1003.0,13:47:00
The Forty Rules of Love,Elif Shafak,06-06-19,George Blagden,463,English,4.5,752.0,11:55:00
The God of Small Things,Arundhati Roy,04-08-22,Siobhan Finneran,7,English,5.0,615.0,02:47:00
Falling in Love Again,Ruskin Bond,01-02-17,Manisha Sethi,6,English,5.0,302.0,05:32:00
Before Your Memory Fades,Toshikazu Kawaguchi,01-09-22,Kevin Shen,7,English,4.5,323.0,06:30:00
"The Science Fiction Hall of Fame, Vol. 1, 1929-1964",Robert A. Heinlein,19-12-17,Oliver Wyman,22,English,4.5,1054.0,04:10:00
"Ponniyin Selvan - Part 6 [The Son of Ponni, Part 6]",Kalki,03-09-20,Bombay Kannan,350,tamil,5.0,118.0,13:40:00
"Ponniyin Selvan - Part 3 [The Son of Ponni, Part 3]",Kalki,03-09-20,Bombay Kannan,367,tamil,5.0,118.0,12:34:00
Remarkably Bright Creatures,Shelby Van Pelt,26-05-22,Marin Ireland,11,English,5.0,911.0,11:16:00
The Girl on the Train,Paula Hawkins,15-01-15,Louise Brealey,554,English,4.5,820.0,11:04:00
Fire and Blood,George R.R. Martin,20-11-18,Simon Vance,84,English,4.5,1101.0,03:15:00
Complete Shakespeare Tales,William Shakespeare,12-12-18,Josh Verbae,3,English,4.0,949.0,04:27:00
The Mahabharata,John D. Smith - translator,25-03-21,Shaheen Khan,3,English,5.0,1093.0,20:07:00
The Great Hunt,Robert Jordan,02-08-22,Rosamund Pike,8,English,5.0,301.0,04:23:00
"Ponniyin Selvan - Part 2 [The Son of Ponni, Part 2]",Kalki,03-09-20,Bombay Kannan,472,tamil,5.0,118.0,14:01:00
"The Sandman, Act I (Hindi Edition)",Neil Gaiman,27-04-22,Tabu,313,Hindi,4.5,0.0,11:03:00
2 States,Chetan Bhagat,12-11-18,Siddhanta Pinto,66,English,4.5,568.0,08:23:00
Oh William!,Elizabeth Strout,21-10-21,Kimberly Farr,5,English,4.0,888.0,00:00:00
Bittersweet,Susan Cain,21-04-22,Susan Cain,14,English,4.5,888.0,07:35:00
Habit of Winning,Prakash Iyer,22-12-18,Andrew Hoffland,46,English,4.5,703.0,05:21:00
Everything Is F*cked,Mark Manson,14-05-19,Mark Manson,214,English,4.5,1238.0,07:02:00
Ashwathama,Ashutosh Garg,13-09-19,Neeraj Yadav,234,Hindi,4.0,220.0,00:00:00
Kalvanin Kaadhali (Tamil Edition),Kalki,18-11-20,Bombay Kannan,47,tamil,4.5,118.0,06:52:00
The George Orwell Complete Collection,George Orwell,16-12-21,Jonathan Keeble,1,English,4.0,2277.0,15:41:00
Dharma,Amish Tripathi,09-09-22,Kanchan Wadi,11,English,4.5,501.0,04:26:00
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,12-12-13,Charlton Griffin,29,English,4.5,2251.0,22:48:00
Fall of Giants,Ken Follett,29-07-11,John Lee,40,English,4.5,323.0,06:36:00
The Time Traveler's Wife,Audrey Niffenegger,08-05-06,Fred Berman,29,English,4.5,937.0,17:38:00
Reckoning,TurtleMe,30-08-22,Travis Baldree,14,English,5.0,1675.0,22:45:00
The Kiss Quotient,Helen Hoang,05-06-18,Carly Robins,92,English,4.5,1172.0,09:36:00
Zero Day,David Baldacci,04-11-11,Ron McLarty,23,English,4.5,323.0,13:07:00
The Art of War,Sun Tzu,31-03-15,Aidan Gillen,787,English,4.0,333.0,01:07:00
Noble House,James Clavell,04-11-15,Ralph Lister,9,English,4.5,1003.0,06:43:00
The Lord of the Rings: The Two Towers (Dramatised),J. R. R. Tolkien,05-09-07,Ian Holm,50,English,4.5,615.0,04:29:00
Democracy on the Road,Ruchir Sharma,19-11-19,Prateek Sharma,42,English,4.0,1005.0,13:08:00
Things We Never Got Over,Lucy Score,01-03-22,Lila Winters,10,English,4.5,836.0,16:01:00
River God,Wilbur Smith,31-01-19,Mark Meadows,6,English,4.5,1138.0,04:36:00
A Court of Silver Flames,Sarah J. Maas,16-02-21,Stina Nielsen,41,English,4.5,1407.0,02:05:00
Atlas Shrugged,Ayn Rand,02-12-08,Scott Brick,167,English,4.5,1406.0,14:56:00
10 Minutes 38 Seconds in This Strange World,Elif Shafak,06-06-19,Alix Dunmore,285,English,4.5,752.0,09:11:00
Abhigyan Shakuntal,Kalidas,15-06-22,Neeraj Yadav,13,Hindi,4.5,0.0,04:41:00
So Long and Thanks for All the Fish,Douglas Adams,06-12-12,Martin Freeman,76,English,4.0,323.0,04:39:00
Freed,E. L. James,01-06-21,Zachary Webber,15,English,4.5,1093.0,03:15:00
The Prophet,Khalil Gibrán,23-08-17,Arundhati Raja,71,English,4.5,490.0,01:30:00
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,19-11-10,Adam Sims,23,English,4.5,1477.0,00:00:00
If God Was a Banker,Ravi Subramanian,01-01-17,Sanjiv Jhaveri,66,English,4.5,245.0,09:15:00
The Modern Intellectual Tradition: From Descartes to Derrida,Lawrence Cahoone,08-07-13,Lawrence Cahoone,6,English,5.0,1405.0,18:46:00
The Song of Achilles,Madeline Miller,15-07-21,Frazer Douglas,159,English,4.5,1138.0,11:14:00
Lord of the Flies,William Golding,06-09-12,Martin Jarvis,50,English,4.5,949.0,06:59:00
Heroes,Stephen Fry,01-11-18,Stephen Fry,249,English,5.0,957.0,00:00:00
Women and the Weight Loss Tamasha,Rujuta Diwekar,20-06-17,Rujuta Diwekar,71,English,4.5,359.0,11:38:00
Half of a Yellow Sun,Chimamanda Ngozi Adichie,28-09-17,Zainab Jah,69,English,4.5,759.0,18:09:00
Caste Matters,Suraj Yengde,03-12-19,Siddhanta Pinto,48,English,4.5,879.0,11:12:00
Shyam: An Illustrated Retelling of the Bhagavata,Devdutt Pattanaik,25-06-19,Rajiv Dadia,51,English,4.5,703.0,05:27:00
Valmiki Ramayan (Hindi Edition),Valmiki,15-06-22,Ashwini Walia,35,Hindi,5.0,0.0,07:17:00
To Paradise,Hanya Yanagihara,11-01-22,BD Wong,3,English,3.5,323.0,04:46:00
Ready Player Two,Ernest Cline,24-11-20,Wil Wheaton,99,English,4.0,888.0,13:46:00
The Greatest Bengali Stories Ever Told,Arunava Sinha,05-06-17,Swetanshu Bora,59,English,3.5,500.0,10:08:00
Chanakya and the Art of Getting Rich,Radhakrishnan Pillai,08-10-19,Sumit Kaul,35,English,4.5,502.0,04:41:00
Banaras Talkies (Hindi Edition),Satya Vyas,29-10-18,Parvez Gauhar,99,Hindi,4.5,154.0,00:00:00
Raavan,Amish Tripathi,04-10-19,Sagar Arya,1623,English,4.5,342.0,11:32:00
Letters from a Stoic,Seneca,26-09-19,Julian Glover,11,English,4.5,683.0,07:38:00
The Alchemist,Paulo Coelho,26-12-04,Jeremy Irons,1637,English,4.5,1069.0,00:00:00
"Ponniyin Selvan - Part 4 [The Son of Ponni, Part 4]",Kalki,03-09-20,Bombay Kannan,314,tamil,5.0,118.0,11:46:00
Poirot's Finest Cases,Agatha Christie,16-10-14,Full Cast,426,English,4.5,1093.0,15:37:00
World Without End,Ken Follett,19-10-10,John Lee,35,English,4.5,323.0,21:34:00
Titans of War,Wilbur Smith,01-09-22,Mark Meadows,2,English,5.0,1480.0,14:36:00
Godsfall,T. B. Mare,15-11-22,Eric Jason Martin,3,English,5.0,1675.0,23:09:00
And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,27-10-22,David Morse,1,English,4.0,615.0,01:08:00
Hitchhiker's Guide to the Galaxy,Douglas Adams,01-01-12,Stephen Fry,1301,English,4.5,323.0,05:51:00
Muhammad: A Story of the Last Prophet,Deepak Chopra MD,21-09-10,Deepak Chopra,39,English,4.0,515.0,08:25:00
Stories We Never Tell,Savi Sharma,18-08-22,Kaushik Ramchandran,17,English,4.0,668.0,07:30:00
India's Most Fearless 2: More Military Stories of Unimaginable Courage and Sacrifice,Shiv Aroor,19-11-19,Rajiv Dadia,52,English,5.0,879.0,10:07:00
Carrie Soto Is Back,Taylor Jenkins Reid,30-08-22,Mary Carillo,28,English,4.5,888.0,10:30:00
"Sivakamiyin Sabatham, Part 4 [Sivagami's Vow, Part 4]",Kalki,17-08-21,Sri Srinivasa,13,tamil,5.0,118.0,08:39:00
Pride and Prejudice,Jane Austen,08-12-15,Rosamund Pike,400,English,5.0,836.0,11:35:00
To Kill a Mockingbird,Harper Lee,08-07-14,Sissy Spacek,548,English,4.5,820.0,12:17:00
Sputnik Sweetheart,Haruki Murakami,11-03-21,Adam Sims,33,English,4.0,888.0,07:06:00
Turn a Blind Eye,Jeffrey Archer,01-04-21,George Blagden,94,English,4.5,323.0,09:31:00
And Then There Were None,Agatha Christie,27-12-06,Hugh Fraser,161,English,4.5,493.0,05:36:00
The Lord of the Rings: The Fellowship of the Ring (Dramatised),J. R. R. Tolkien,05-09-07,Ian Holm,166,English,4.5,615.0,04:35:00
Grey,E. L. James,18-06-15,Zachary Webber,30,English,4.5,957.0,18:52:00
The Unusual Billionaires,Saurabh Mukherjea,25-06-19,Gaurav Marwa,479,English,4.5,1005.0,09:12:00
If We Were Villains,M. L. Rio,11-04-17,Robert Petkoff,26,English,4.0,181.0,12:50:00
The Great Gatsby,F. Scott Fitzgerald,09-04-13,Jake Gyllenhaal,351,English,4.5,501.0,04:49:00
Regretting You,Colleen Hoover,10-12-19,Tanya Eby,15,English,4.5,1008.0,11:17:00
One Night at the Call Centre,Chetan Bhagat,22-04-11,Kulvinder Ghir,74,English,4.0,683.0,07:33:00
You Only Live Once,Stuti Changle,17-05-22,Sonal Khale,17,English,4.0,879.0,04:42:00
The Testaments,Margaret Atwood,10-09-19,Ann Dowd,164,English,4.5,1093.0,13:18:00
Sare Pravasi Ghadiche,Jayavant Dalvi,07-02-14,Ajit Bhure,56,English,4.5,328.0,02:41:00
Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,29-10-18,Babla Kochhar,83,Hindi,4.5,173.0,05:55:00
Night Train at Deoli (Hindi Edition),Ruskin Bond,24-12-18,Mansi Multani,37,Hindi,4.5,278.0,06:43:00
The Overstory,Richard Powers,06-09-18,Suzanne Toren,17,English,4.5,957.0,22:58:00
Awakening Bharat Mata,Swapan Dasgupta,15-04-20,Vikrant Chaturvedi,10,English,4.5,879.0,15:20:00
Inferno,Dan Brown,14-05-13,Paul Michael,82,English,4.5,957.0,17:12:00
Murder on the Orient Express,Agatha Christie,01-11-17,Tom Conti,259,English,4.5,858.0,05:47:00
Daisy Darker,Alice Feeney,18-08-22,Stephanie Racine,18,English,4.5,323.0,10:54:00
The Course of Love,Alain de Botton,28-04-16,Julian Rhind-Tutt,43,English,4.5,683.0,07:05:00
The Atlas Six,Olivie Blake,03-03-22,Steve West,6,English,4.0,323.0,16:51:00
The Colour of Magic,Terry Pratchett,07-07-22,Colin Morgan,2,English,3.0,1093.0,07:58:00
What I Know for Sure,Oprah Winfrey,11-09-14,Oprah Winfrey,203,English,4.5,323.0,03:53:00
A Dance with Dragons,George R.R. Martin,12-07-11,Roy Dotrice,28,English,4.5,1025.0,00:53:00
Half-Lion: How P.V. Narasimha Rao Transformed India,Vinay Sitapati,19-11-19,Prateek Sharma,181,English,4.5,879.0,12:40:00
Stargazing,Ravi Shastri,22-12-21,Derek Denzil,24,English,3.5,1519.0,07:10:00
One Arranged Murder,Chetan Bhagat,27-09-20,Hrishikesh Kannan,992,English,4.0,668.0,07:58:00
"Ponniyin Selvan - Part 5 [The Son of Ponni, Part 5]",Kalki,03-09-20,Bombay Kannan,275,tamil,5.0,118.0,12:17:00
Rule of Two,Drew Karpyshyn,30-10-12,Jonathan Davis,11,English,4.5,1206.0,10:12:00
Pax Indica,Shashi Tharoor,30-07-19,Vikrant Chaturvedi,33,English,4.5,1382.0,20:50:00
The Three Mistakes of My Life,Chetan Bhagat,12-11-18,Vivek Madan,81,English,4.5,568.0,08:35:00
Midnight's Children,Salman Rushdie,20-09-18,Homer Todiwala,96,English,4.0,987.0,01:39:00
Men Without Women,Haruki Murakami,09-05-17,Bruno Roubicek,206,English,4.0,525.0,07:36:00
Shogun,James Clavell,09-07-15,Ralph Lister,51,English,5.0,1758.0,05:34:00
Siddhartha (Hindi Edition),Herman Hesse,15-02-19,Mukesh Pandey,122,Hindi,4.5,188.0,05:11:00
The Magic Weight-Loss Pill,Luke Coutinho,11-04-20,Vishal Menon,32,English,4.5,879.0,06:57:00
The Architect's Apprentice,Elif Shafak,19-12-14,Grant Cartwright,33,English,4.5,1195.0,16:31:00
Life Is What You Make It,Preeti Shenoy,20-01-17,Smita Singh,162,English,4.5,134.0,05:48:00
Jurassic Park,Michael Crichton,12-05-15,Scott Brick,81,English,4.5,1055.0,15:10:00
Adultery,Paulo Coelho,11-09-14,Susan Denaker,50,English,4.0,683.0,08:10:00
Love in the Time of Cholera,Gabriel García Márquez,27-08-13,Armando Durán,70,English,4.5,952.0,15:41:00
What I Talk About When I Talk About Running,Haruki Murakami,07-07-16,Ray Porter,223,English,4.5,375.0,04:23:00
Upgrade,Blake Crouch,07-07-22,Henry Levya,48,English,4.0,323.0,09:47:00
"Parthiban Kanavu - Part 3 [Parthiban's Dream, Part 3]",Kalki,26-08-20,Bombay Kannan,57,tamil,5.0,118.0,06:28:00
More from Marple's Casebook,Agatha Christie,13-09-18,full cast,95,English,4.5,1093.0,08:44:00
Sleeping Giants,Sylvain Neuvel,21-04-16,Andy Secombe,76,English,4.5,820.0,08:27:00
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,14-07-22,Jennifer Kim,14,English,4.5,888.0,13:52:00
Seva Sadan (Hindi Edition),Premchand,15-06-22,Surjan Singh,4,Hindi,5.0,0.0,12:40:00
The Prodigal Daughter,Jeffrey Archer,07-11-13,Lorelei King,63,English,4.5,323.0,14:35:00
Slaughterhouse-Five,Kurt Vonnegut,03-11-15,James Franco,70,English,4.5,668.0,05:13:00
Fresh Floods,Kalki R. Krishnamurthy,20-11-19,Amit Bhargav,53,English,5.0,836.0,15:27:00
The Greatest Minds and Ideas of All Time,Will Durant,19-12-03,John Little,47,English,4.0,501.0,03:12:00
Dune Messiah,Frank Herbert,01-10-07,Scott Brick,76,English,4.5,134.0,08:57:00
Heir of Novron,Michael J. Sullivan,08-08-12,Tim Gerard Reynolds,43,English,5.0,1407.0,07:48:00
The Mysterious Affair at Styles,Agatha Christie,25-08-06,Hugh Fraser,27,English,4.5,493.0,05:56:00
The Jane Austen BBC Radio Drama Collection,Jane Austen,17-03-16,David Tennant,43,English,4.5,1093.0,14:27:00
House of Spies,Daniel Silva,13-07-17,George Guidall,2,English,4.5,552.0,13:01:00
Panchatantra (Hindi Edition),Vishnu Sharma,29-06-22,Atul Arya,18,Hindi,5.0,0.0,05:41:00
Train to Pakistan,Khushwant Singh,14-03-19,Paul Thottam,131,English,4.0,754.0,06:26:00
Sidney Sheldon's Angel of the Dark,Sidney Sheldon,03-04-12,Michael Kramer,69,English,4.5,1575.0,10:57:00
My Lovely Wife,Samantha Downing,26-03-19,David Pittu,105,English,4.0,820.0,10:13:00
A Murder on Malabar Hill,Sujata Massey,03-12-19,Nandita Dubey,24,English,4.0,879.0,13:22:00
Blue Moon,Lee Child,29-10-19,Jeff Harding,81,English,4.0,1093.0,11:13:00
Anne of Green Gables,Lucy Maud Montgomery,22-11-16,Rachel McAdams,49,English,5.0,836.0,09:22:00
The Writer on the Hill,Ruskin Bond,20-02-17,Sagar Arya,17,English,4.5,284.0,15:20:00
"Sivakamiyin Sabatham, Part 2 [Sivagami's Vow, Part 2]",Kalki,17-08-21,Sri Srinivasa,10,tamil,4.5,118.0,08:19:00
Winter Garden,Kristin Hannah,27-12-09,Susan Ericksen,22,English,5.0,1008.0,14:38:00
The Restaurant at the End of the Universe,Douglas Adams,06-12-12,Martin Freeman,277,English,4.5,323.0,05:47:00
A Wild Sheep Chase,Haruki Murakami,29-10-20,Dexter Galang,25,English,4.5,888.0,09:19:00
Vivekanand [Vivekananda],Rajendra Mohan Bhatnagar,14-10-21,Kafeel Jafri,25,Hindi,5.0,0.0,12:50:00
North and South,Elizabeth Gaskell,18-09-09,Juliet Stevenson,16,English,5.0,873.0,18:20:00
House of Sky and Breath,Sarah J. Maas,15-02-22,Elizabeth Evans,33,English,5.0,1138.0,03:42:00
As the Crow Flies,Jeffrey Archer,09-04-15,John Lee,29,English,5.0,323.0,20:42:00
