Book_Name,Author,Release_Date,Narrator,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length
Godsfall,T. B. Mare,"Release Date:
                                    15-11-22",Eric Jason Martin,5 out of 5 stars,3 ratings,"₹1,675.00","['Language:', 'English']",Length: 23 hrs and 9 mins
And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,"Release Date:
                                    27-10-22",David Morse,4 out of 5 stars,1 rating,₹615.00,"['Language:', 'English']",Length: 1 hr and 8 mins
Hitchhiker's Guide to the Galaxy,Douglas Adams,"Release Date:
                                    01-01-12",Stephen Fry,4.5 out of 5 stars,"1,301 ratings",₹323.00,"['Language:', 'English']",Length: 5 hrs and 51 mins
Muhammad: A Story of the Last Prophet,Deepak Chopra MD,"Release Date:
                                    21-09-10",Deepak Chopra,4 out of 5 stars,39 ratings,₹515.00,"['Language:', 'English']",Length: 8 hrs and 25 mins
Stories We Never Tell,Savi Sharma,"Release Date:
                                    18-08-22",Kaushik Ramchandran,4 out of 5 stars,17 ratings,₹668.00,"['Language:', 'English']",Length: 7 hrs and 30 mins
India's Most Fearless 2: More Military Stories of Unimaginable Courage and Sacrifice,Shiv Aroor,"Release Date:
                                    19-11-19",Rajiv Dadia,5 out of 5 stars,52 ratings,₹879.00,"['Language:', 'English']",Length: 10 hrs and 7 mins
Carrie Soto Is Back,Taylor Jenkins Reid,"Release Date:
                                    30-08-22",Mary Carillo,4.5 out of 5 stars,28 ratings,₹888.00,"['Language:', 'English']",Length: 10 hrs and 30 mins
"Sivakamiyin Sabatham, Part 4 [Sivagami's Vow, Part 4]",Kalki,"Release Date:
                                    17-08-21",Sri Srinivasa,5 out of 5 stars,13 ratings,₹118.00,"['Language:', 'tamil']",Length: 8 hrs and 39 mins
Pride and Prejudice,Jane Austen,"Release Date:
                                    08-12-15",Rosamund Pike,5 out of 5 stars,400 ratings,₹836.00,"['Language:', 'English']",Length: 11 hrs and 35 mins
To Kill a Mockingbird,Harper Lee,"Release Date:
                                    08-07-14",Sissy Spacek,4.5 out of 5 stars,548 ratings,₹820.00,"['Language:', 'English']",Length: 12 hrs and 17 mins
Sputnik Sweetheart,Haruki Murakami,"Release Date:
                                    11-03-21",Adam Sims,4 out of 5 stars,33 ratings,₹888.00,"['Language:', 'English']",Length: 7 hrs and 6 mins
Turn a Blind Eye,Jeffrey Archer,"Release Date:
                                    01-04-21",George Blagden,4.5 out of 5 stars,94 ratings,₹323.00,"['Language:', 'English']",Length: 9 hrs and 31 mins
And Then There Were None,Agatha Christie,"Release Date:
                                    27-12-06",Hugh Fraser,4.5 out of 5 stars,161 ratings,₹493.00,"['Language:', 'English']",Length: 5 hrs and 36 mins
The Lord of the Rings: The Fellowship of the Ring (Dramatised),J. R. R. Tolkien,"Release Date:
                                    05-09-07",Ian Holm,4.5 out of 5 stars,166 ratings,₹615.00,"['Language:', 'English']",Length: 4 hrs and 35 mins
Grey,E. L. James,"Release Date:
                                    18-06-15",Zachary Webber,4.5 out of 5 stars,30 ratings,₹957.00,"['Language:', 'English']",Length: 18 hrs and 52 mins
The Unusual Billionaires,Saurabh Mukherjea,"Release Date:
                                    25-06-19",Gaurav Marwa,4.5 out of 5 stars,479 ratings,"₹1,005.00","['Language:', 'English']",Length: 9 hrs and 12 mins
If We Were Villains,M. L. Rio,"Release Date:
                                    11-04-17",Robert Petkoff,4 out of 5 stars,26 ratings,₹181.00,"['Language:', 'English']",Length: 12 hrs and 50 mins
The Great Gatsby,F. Scott Fitzgerald,"Release Date:
                                    09-04-13",Jake Gyllenhaal,4.5 out of 5 stars,351 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 49 mins
Regretting You,Colleen Hoover,"Release Date:
                                    10-12-19",Tanya Eby,4.5 out of 5 stars,15 ratings,"₹1,008.00","['Language:', 'English']",Length: 11 hrs and 17 mins
One Night at the Call Centre,Chetan Bhagat,"Release Date:
                                    22-04-11",Kulvinder Ghir,4 out of 5 stars,74 ratings,₹683.00,"['Language:', 'English']",Length: 7 hrs and 33 mins
You Only Live Once,Stuti Changle,"Release Date:
                                    17-05-22",Sonal Khale,4 out of 5 stars,17 ratings,₹879.00,"['Language:', 'English']",Length: 4 hrs and 42 mins
The Testaments,Margaret Atwood,"Release Date:
                                    10-09-19",Ann Dowd,4.5 out of 5 stars,164 ratings,"₹1,093.00","['Language:', 'English']",Length: 13 hrs and 18 mins
Sare Pravasi Ghadiche,Jayavant Dalvi,"Release Date:
                                    07-02-14",Ajit Bhure,4.5 out of 5 stars,56 ratings,₹328.00,"['Language:', 'English']",Length: 2 hrs and 41 mins
